number,name,base_voltage,angle,magnitude,area,x,y
1646,bus_2295,66.0,-0.47189878278420266,1.0367168920351215,6,400,-3956
1510,bus_3650,330.0,0.032780488794655845,1.0722047065423839,11,647,2809
1714,bus_2337,11.0,-0.3113705991002599,1.0442380759420151,6,513,-3245
480,bus_4128,275.0,1.0386949127993725,1.0562111174908497,13,-1960,-2598
1498,bus_4074,33.0,0.3615287652477038,1.0602901467455363,14,-921,-2853
523,bus_3549,275.0,-0.12796642116243676,1.0536492981037135,9,-915,4345
1157,bus_1513,66.0,-0.1902807890091329,1.0740324222615927,2,710,62
1473,starbus_xf_4031_4030_4029_1,66.0,0.982537437339702,1.0503277370302675,13,-2169,-2688
1514,bus_3389,11.0,-0.4277943372315098,1.0085942632763654,11,-1451,2464
4,bus_1530,132.0,-0.3546414265864551,1.0511173027068492,3,952,-714
808,bus_2242,66.0,-0.1575868185845766,1.0684372213415887,7,1398,-4306
1368,bus_4409,11.0,0.9567127020146609,0.9987368695472454,14,-2543,-3249
103,bus_5087,110.0,-0.09464118329114479,1.0289527047520208,15,1139,-6349
914,bus_4335,66.0,1.0482339378049903,1.0103756027447486,14,-1901,-3129
253,bus_4171,132.0,0.9976959698073836,1.028262203181441,12,-2650,-1357
1288,bus_2332,22.0,-0.16685671669131266,1.0407330255308427,5,765,-2329
680,bus_2176,220.0,-0.34825902546632137,1.0215965530292193,6,204,-3789
1576,bus_4384,33.0,1.026449460322582,1.0676307710309239,13,-2774,-1830
996,bus_4403,11.0,0.7385792263340076,1.0124499049339921,12,-3248,-1756
958,bus_5122,110.0,-0.18826024900070848,1.0116493817519834,15,507,-5712
1689,bus_2244,66.0,0.020027619807020232,1.100000009590809,7,1502,-4440
330,bus_1273,132.0,-0.13437256310300563,1.0768928732576466,1,2120,2328
331,starbus_xf_4160_4097_4400_2,132.0,1.0694624662951846,0.9958607104358492,12,-3689,-1737
1773,bus_4412,11.0,0.9801530800090118,1.0748703503979107,13,-2075,-2656
1789,bus_4057,15.0,1.0425040610494496,0.9998354674169005,14,-2100,-3196
1352,bus_2140,220.0,-0.4754272017650374,1.0290853119969852,7,1017,-4276
1649,bus_1080,12.5,0.1992647187513402,1.02419,4,1435,-1548
63,bus_1179,132.0,-0.1317282013205184,1.0943207795242897,2,398,-61
250,bus_4338,66.0,0.9764090413402703,1.0641055110695983,13,-1897,-2008
